,PDB ID,Drug IDs
604,3A7E,DB00323; DB00494; DB11632
605,1TQA,DB00357; DB00894; DB00990; DB01006; DB01217
606,1FZA,DB11300; DB11311; DB11571; DB11572; DB13151
607,1DUG,DB00009; DB11300; DB11571; DB11572
608,1APQ,DB06404; DB09228
609,3AY4,DB00028; DB06607; DB12023; DB16695
610,1FCG,DB00028; DB06607
611,2FCB,DB00028; DB00098
612,3WJL,DB00028
613,1ILL,DB00041
614,1H8U,DB06752
615,1C8P,DB00020
616,1O5E,DB00522
617,2V53,DB00048
618,1AGW,DB00398; DB08896; DB09078; DB09079; DB11886; DB12147; DB15102; DB15149
619,1RY7,DB09078; DB09079; DB11886; DB12147; DB15102; DB15149; DB17587
622,3FIE,DB00042
625,1U5M,DB00048
628,3RBF,DB00190; DB00968; DB12783
629,1EHO,DB00382; DB00449; DB00545; DB00677; DB00733; DB00772; DB00941; DB00989; DB01010; DB01057; DB01221
630,1UOU,DB09343
631,1GOS,DB00191; DB00752; DB00780; DB01037; DB01247; DB01363; DB01367; DB01442; DB01577; DB01626; DB06654
632,1H8Q,DB00191; DB00752; DB00780; DB00805; DB01171; DB01247; DB01363; DB01442; DB01577
633,2CKJ,DB00437; DB04854
635,1BI7,DB09073; DB11730; DB12001; DB15442
636,1M7M,DB00552; DB00975
637,1LD2,DB09073; DB11730; DB12001; DB15442
638,2G19,DB04847; DB11682; DB12255
640,2LCM,DB01202; DB05885; DB06283; DB08838; DB09231; DB09232
645,4F11,DB00181; DB08891; DB08892
646,2MAW,DB00184; DB00333; DB00674; DB01221; DB11726
648,4COF,DB00592; DB00818; DB01567; DB06716
650,4R3O,DB00188; DB08889
651,4R3O,DB00188; DB08889
652,4R3O,DB08889
653,1LXU,DB00651; DB05266
655,2VAY,DB00270; DB00393; DB00401; DB00568; DB01023; DB01054; DB01388; DB04855; DB09090; DB09229
656,1VYV,DB00393; DB01388; DB04855
659,3LV3,DB00270; DB00393; DB00401; DB00568; DB00622; DB01023; DB01054; DB01115; DB01388; DB04855; DB09229
663,1TYI,DB02546; DB06176
664,3MAX,DB00277; DB01223; DB01303; DB02546; DB06176; DB09091
665,4A69,DB02546
666,3C5K,DB02546
669,1JCQ,DB06448
670,1JCQ,DB06448
672,2ENQ,DB12015; DB12483
673,2Q7M,DB16346
674,1AUE,DB00337; DB00877; DB01590; DB06233; DB06287; DB11962
675,3G75,DB01051
677,1PMD,DB01150
680,1Z8E,DB04786
681,3BCH,DB01421
684,2B7A,DB08877; DB08895; DB11697; DB11763; DB11817; DB12500
685,1XPD,DB00398; DB00619; DB08875; DB08896; DB09078; DB15685; DB15822
686,1BIX,DB04967
687,1IAR,DB12159
688,1R46,DB05018
689,2L73,DB05265
690,3QX3,DB00694; DB00997
692,2HKF,DB12741
693,1GA3,DB11914; DB12159; DB12169
694,2ANW,DB05311; DB06404; DB09228; DB12831; DB14597; DB15982
696,2Z62,DB13615
697,1MQ0,DB15694
698,4MZV,DB09336
700,2UW2,DB00242
701,4I5I,DB15493
703,1TQN,DB09065
704,1B2Y,DB00284
705,1B0P,DB00507
706,1P5Z,DB01073
707,1YLW,DB09060; DB12107; DB12377
708,1YLT,DB09060; DB12107; DB12377
709,1YLP,DB09060; DB12107; DB12377
710,1IM7,DB11796
